Timestamp,CPU %,Memory Usage,Memory Limit
2025-07-06 02:23:27.3N,100.03%,248.7MiB,1GiB,
2025-07-06 02:23:29.3N,100.01%,250.8MiB,1GiB,
2025-07-06 02:23:31.3N,99.13%,252.8MiB,1GiB,
2025-07-06 02:23:33.3N,99.52%,254.9MiB,1GiB,
2025-07-06 02:23:35.3N,100.03%,259.1MiB,1GiB,
2025-07-06 02:23:37.3N,100.19%,263.1MiB,1GiB,
2025-07-06 02:23:39.3N,99.80%,262.9MiB,1GiB,
2025-07-06 02:23:41.3N,100.12%,252.8MiB,1GiB,
2025-07-06 02:23:43.3N,100.25%,259MiB,1GiB,
2025-07-06 02:23:45.3N,99.98%,261.1MiB,1GiB,
2025-07-06 02:23:47.3N,100.20%,261MiB,1GiB,
2025-07-06 02:23:49.3N,100.10%,265.1MiB,1GiB,
2025-07-06 02:23:51.3N,99.21%,266.8MiB,1GiB,
2025-07-06 02:23:53.3N,99.36%,253MiB,1GiB,
2025-07-06 02:23:55.3N,100.02%,257.1MiB,1GiB,
2025-07-06 02:23:57.3N,100.13%,256.8MiB,1GiB,
2025-07-06 02:23:59.3N,99.78%,261.3MiB,1GiB,
2025-07-06 02:24:01.3N,101.06%,262.9MiB,1GiB,
2025-07-06 02:24:03.3N,100.15%,265.1MiB,1GiB,
2025-07-06 02:24:05.3N,99.87%,257.1MiB,1GiB,
2025-07-06 02:24:07.3N,99.19%,259.4MiB,1GiB,
2025-07-06 02:24:09.3N,100.03%,261.3MiB,1GiB,
2025-07-06 02:24:11.3N,99.14%,262.8MiB,1GiB,
2025-07-06 02:24:13.3N,100.01%,266.9MiB,1GiB,
2025-07-06 02:24:15.3N,100.04%,268.9MiB,1GiB,
2025-07-06 02:24:17.3N,99.90%,260.8MiB,1GiB,
2025-07-06 02:24:19.3N,100.16%,264.7MiB,1GiB,
2025-07-06 02:24:21.3N,100.18%,264.8MiB,1GiB,
2025-07-06 02:24:23.3N,100.29%,268.9MiB,1GiB,
2025-07-06 02:24:25.3N,100.10%,269MiB,1GiB,
2025-07-06 02:24:27.3N,100.01%,272.7MiB,1GiB,
2025-07-06 02:24:29.3N,100.20%,275.1MiB,1GiB,
2025-07-06 02:24:31.3N,99.40%,268.8MiB,1GiB,
2025-07-06 02:24:33.3N,98.79%,270.9MiB,1GiB,
2025-07-06 02:24:35.3N,99.60%,270.9MiB,1GiB,
2025-07-06 02:24:37.3N,99.69%,272.6MiB,1GiB,
2025-07-06 02:24:39.3N,99.64%,274.9MiB,1GiB,
2025-07-06 02:24:41.3N,100.52%,276.9MiB,1GiB,
2025-07-06 02:24:43.3N,99.99%,278.7MiB,1GiB,
2025-07-06 02:24:45.3N,100.05%,270.6MiB,1GiB,
2025-07-06 02:24:47.3N,99.57%,268.9MiB,1GiB,
2025-07-06 02:24:49.3N,99.80%,270.8MiB,1GiB,
2025-07-06 02:24:51.3N,100.22%,274.6MiB,1GiB,
2025-07-06 02:24:53.3N,99.63%,278.9MiB,1GiB,
2025-07-06 02:24:55.3N,99.70%,280.8MiB,1GiB,
2025-07-06 02:24:57.3N,99.87%,282.9MiB,1GiB,
2025-07-06 02:24:59.3N,99.97%,283MiB,1GiB,
2025-07-06 02:25:01.3N,99.95%,270.5MiB,1GiB,
2025-07-06 02:25:03.3N,100.38%,272.8MiB,1GiB,
2025-07-06 02:25:05.3N,100.00%,276.7MiB,1GiB,
2025-07-06 02:25:07.3N,99.98%,276.6MiB,1GiB,
2025-07-06 02:25:09.3N,99.95%,278.7MiB,1GiB,
2025-07-06 02:25:11.3N,99.02%,280.4MiB,1GiB,
2025-07-06 02:25:13.3N,99.53%,272.7MiB,1GiB,
2025-07-06 02:25:15.3N,100.03%,276.8MiB,1GiB,
2025-07-06 02:25:17.3N,99.71%,276.6MiB,1GiB,
2025-07-06 02:25:19.3N,99.64%,276.7MiB,1GiB,
2025-07-06 02:25:21.3N,99.75%,278.3MiB,1GiB,
2025-07-06 02:25:23.3N,98.87%,280.5MiB,1GiB,
2025-07-06 02:25:25.3N,99.21%,270.4MiB,1GiB,
2025-07-06 02:25:27.3N,99.18%,274.5MiB,1GiB,
2025-07-06 02:25:29.3N,99.99%,278.3MiB,1GiB,
2025-07-06 02:25:31.3N,100.23%,280.6MiB,1GiB,
2025-07-06 02:25:33.3N,99.63%,280.7MiB,1GiB,
2025-07-06 02:25:35.3N,99.79%,283.1MiB,1GiB,
